Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation,Injury/illness/disease group,Type of injury/illness/disease,Industry,Industry subgroup,Value,Measure,Status
2018,Total,Total,Total,Total,Elementary occupations,Total,Total,Total,Total,24.4,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,18.4,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,14.9,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,13.2,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,11.9,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,11.2,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,15.3,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,16.9,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,17.4,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,16.9,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,14.5,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,14.1,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,13.9,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,14.5,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,16,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,17.3,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,19.7,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Not specified,Total,Total,Total,Total,20.8,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,137.4,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,140.7,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,144,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,147,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,144.5,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,145.7,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,142.6,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,135,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,132.2,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,129.2,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,108.2,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,110.8,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,114.8,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,138.7,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,141.5,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,145.6,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,151,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,54.9,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,53.4,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,53.2,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,53.8,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,50.6,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,49.7,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,47,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,42.2,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,44.2,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,43,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,37.2,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,38.4,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,39.4,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,43,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,43.5,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,43.7,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,44.1,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,18.1,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,16.7,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,16.4,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,15.1,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,14.1,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,13.2,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,11.4,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,10.5,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,10.3,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,9.6,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,9.1,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,8.6,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,8.2,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,8.4,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,8.2,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,8.1,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,7.8,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,10.3,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,10.1,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,10.3,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,9.9,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,9.4,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,9.5,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,9.3,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,8.8,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,8.8,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,8.7,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,7.5,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,7.6,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,7.9,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,8.9,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,8.7,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,9.1,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,9.2,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,5.3,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,4.9,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,5.1,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,5.4,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,5,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,4.9,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,4.6,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,4.2,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,4.3,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,4.1,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,3.4,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,3.5,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,3.4,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,3.8,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,3.9,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,4,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,4,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,2.1,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,2,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,2.1,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,2,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,2.4,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,2.3,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,2.4,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,2.2,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.9,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.9,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.7,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.5,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.7,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.8,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.9,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.9,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1.9,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.2,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.2,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.3,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.3,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.2,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.2,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.2,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.1,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.1,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.1,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,0.9,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.1,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.5,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.5,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.6,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Concussion,Total,Total,1.8,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,1,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,1,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,1,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,1,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,1,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,1,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.8,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.7,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.6,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.5,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.3,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.5,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.5,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.5,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.5,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.3,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Hernia,Total,Total,0.3,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.4,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.5,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.6,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.5,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.5,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.4,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.4,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.4,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.3,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.4,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.3,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.3,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.3,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.4,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.3,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.3,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Amputation,Total,Total,0.3,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.3,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.2,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.3,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.4,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.2,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.4,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.4,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.3,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.3,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.1,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.1,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.2,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.2,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.4,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.5,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.5,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Trauma-induced hearing loss,Total,Total,0.4,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.2,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.2,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.2,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.3,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.3,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.3,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.3,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.2,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.3,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.2,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.2,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.2,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.3,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.3,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.4,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.3,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Inhalation or ingestion non-gradual,Total,Total,0.4,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,231.1,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,230.9,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,234.5,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,236.6,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,229,Number of claims in thousands,Final
